p_heads,flips_N,Model_A_Mean_Conf,Model_A_SE,Model_A_Brier,Model_B_Mean_Conf,Model_B_SE,Model_B_Brier,Model_C_Mean_Conf,Model_C_SE,Model_C_Brier,Bayes_Mean_Conf,Bayes_Brier
0.5,10,0.37669914960861206,0.012089364388013177,0.21497860550880432,0.3530817925930023,0.008218367650277789,0.15843753516674042,0.3126693367958069,0.008618528967645648,0.13490164279937744,0.5135888671875,0.3426860327720642
0.5,25,0.26460161805152893,0.011236384143264545,0.13314218819141388,0.27595141530036926,0.008109743086921025,0.10903315246105194,0.24328944087028503,0.007229497744902551,0.08532257378101349,0.49709590524435043,0.32683423596563727
0.5,50,0.22273685038089752,0.010965479805457475,0.10973257571458817,0.289162278175354,0.008697826591552563,0.12144091725349426,0.19083501398563385,0.006793044273325483,0.05949072167277336,0.5063141867801221,0.34138105441055716
0.5,100,0.17309491336345673,0.009630031156187487,0.07633059471845627,0.28499096632003784,0.008499507228564095,0.11734066903591156,0.13256946206092834,0.006643903244971186,0.03964538499712944,0.5065129579806271,0.3416705569756519
0.5,200,0.12768177688121796,0.007208039658866259,0.04228055477142334,0.2901572287082672,0.008494186023067207,0.12026681751012802,0.11507341265678406,0.006142012606986238,0.03210404887795448,0.5018979722310244,0.3402984514179183
0.5,300,0.10920430719852448,0.005913491321101782,0.02941027283668518,0.29841724038124084,0.00879073477288821,0.1276913583278656,0.10031065344810486,0.005662725596959829,0.02609545923769474,0.5073562049009223,0.34628538011079424
0.5,500,0.10209335386753082,0.005666472098813743,0.026477504521608353,0.298269659280777,0.00946785867216736,0.1337849497795105,0.08868223428726196,0.005748246065817268,0.024385707452893257,0.5001864750504456,0.33059081978778043
0.55,10,0.43822187185287476,0.013006231085933465,0.40017566084861755,0.3946531414985657,0.009242713369632592,0.4091586768627167,0.3579745590686798,0.009656863093335478,0.4588242173194885,0.5715,0.2643254203796387
0.55,25,0.4299749433994293,0.014033830837403649,0.4234027564525604,0.3904455006122589,0.01036490529571214,0.42527228593826294,0.35450705885887146,0.009455588245515614,0.4613652229309082,0.6647739358246326,0.17827202735867367
0.55,50,0.3890068829059601,0.014604723882799403,0.4799616038799286,0.37385424971580505,0.010272389624086909,0.44481950998306274,0.29985156655311584,0.009938109295651778,0.5395908951759338,0.6741062042485657,0.18153525447581595
0.55,100,0.3768565058708191,0.014198747557395745,0.4891100525856018,0.3883891701698303,0.010106671224669295,0.42514023184776306,0.28425076603889465,0.010955317868998858,0.5723064541816711,0.7526063140503998,0.11646500386007941
0.55,200,0.4112795889377594,0.013941513086634093,0.4437745213508606,0.3796805441379547,0.010258351237737823,0.4374130964279175,0.36961331963539124,0.012939445791946348,0.48110201954841614,0.8382044784060927,0.06540517269391297
0.55,300,0.446519672870636,0.013525819313696856,0.3978143334388733,0.36729004979133606,0.009499010881730672,0.445437490940094,0.43309730291366577,0.013699156666457728,0.41521215438842773,0.8878251568204515,0.03802002815961495
0.55,500,0.530090868473053,0.012629143208656306,0.3005622327327728,0.3767963945865631,0.009653683031640907,0.43497952818870544,0.5406727194786072,0.013549957661287124,0.30278220772743225,0.9401276563878705,0.0151205365517859
0.6,10,0.5515077114105225,0.013648158392911598,0.2942814230918884,0.4779264032840729,0.01029816798253852,0.3255869150161743,0.44533777236938477,0.010744342233650103,0.36537066102027893,0.6740771484375,0.17689086961746217
0.6,25,0.5858239531517029,0.01490986453023736,0.2826938331127167,0.49647343158721924,0.011484612881892828,0.31948718428611755,0.4636276364326477,0.010842189773175224,0.3464719355106354,0.7716933345794678,0.10631743252468741
0.6,50,0.6067155599594116,0.014999476696245817,0.26716476678848267,0.4830285608768463,0.011010739040589178,0.32787761092185974,0.45976561307907104,0.011786117649907989,0.3613094687461853,0.8348501934864944,0.06724703191363866
0.6,100,0.6810851097106934,0.014566068673525452,0.20779183506965637,0.47165703773498535,0.010978116752212325,0.3394058048725128,0.5615047812461853,0.013867878531520236,0.2884370684623718,0.9098840266995422,0.029281339194595007
0.6,200,0.8028453588485718,0.01055376977284089,0.09456097334623337,0.4752919375896454,0.011195084658046743,0.33798351883888245,0.7665752172470093,0.011377077216442379,0.11920610070228577,0.9787905512947989,0.00312540580000625
0.6,300,0.8831489086151123,0.007128852657390464,0.0390644446015358,0.4779554605484009,0.010728012763456522,0.33007559180259705,0.8892391324043274,0.007652060770972151,0.04154497757554054,0.9951222219108221,0.00031918444141825256
0.6,500,0.9419679045677185,0.0035347265383404965,0.009614870883524418,0.46804729104042053,0.011217632974789725,0.3458913564682007,0.9610686898231506,0.0033056907915113205,0.006979442201554775,0.9994292798238865,1.9784538976058543e-05
0.7,10,0.7350059747695923,0.012419801586567211,0.14734753966331482,0.6356837153434753,0.010685870948401769,0.18982024490833282,0.6127074956893921,0.011332556352718383,0.21420888602733612,0.8264013671875,0.06878320455551147
0.7,25,0.8461710214614868,0.010584893327196138,0.0796833336353302,0.7094924449920654,0.01080665798157991,0.14278656244277954,0.6931301355361938,0.010299051629187095,0.14720435440540314,0.9257309931516647,0.020881934380040938
0.7,50,0.9367579221725464,0.006110168674028342,0.02266663685441017,0.7113335132598877,0.011306806649474832,0.14725027978420258,0.8235063552856445,0.008629796462015265,0.06838671118021011,0.9806910263207673,0.0025207641815997222
0.7,100,0.9811115860939026,0.002360772310899892,0.0031433943659067154,0.7128044366836548,0.010789579477575622,0.14068880677223206,0.950873851776123,0.003838216179314015,0.00977933220565319,0.998380199486413,7.604470093038901e-05
0.7,200,0.9943477511405945,0.0003936369679825203,0.00010942270455416292,0.7208287119865417,0.010931972537631672,0.13769060373306274,0.993806779384613,0.0006070840317265031,0.00022263122082222253,0.9999734640554584,1.4530686648249523e-07
0.7,300,0.9964950084686279,0.00012063646838578671,1.9561650333344005e-05,0.7033640146255493,0.011203565266832392,0.15075284242630005,0.9985525608062744,6.46138602137796e-05,4.1825715015875176e-06,0.9999999425273002,2.745796591701208e-13
0.7,500,0.9981557726860046,4.155932402214559e-05,4.264822109689703e-06,0.7229337692260742,0.011225395204173289,0.13977041840553284,0.9996509552001953,1.1157642463714023e-05,1.8408667301628157e-07,0.9999999999995118,5.2655778901818374e-23
0.8,10,0.8655915856361389,0.009263481065074674,0.06097164377570152,0.7652736902236938,0.009230296334939603,0.09769566357135773,0.7535926103591919,0.01022190781068606,0.11296027898788452,0.9142080078125,0.023708335399627686
0.8,25,0.976275622844696,0.0036489755192794437,0.007220355793833733,0.8995597958564758,0.006525158728367618,0.031377069652080536,0.9075058102607727,0.005867970190696407,0.025771724060177803,0.9891847074329853,0.0013884603410713834
0.8,50,0.9957244992256165,0.0004255346294555303,0.00010882006608881056,0.9153844714164734,0.0061156738059769695,0.02586052566766739,0.9806930422782898,0.001690210287666636,0.0018011635402217507,0.9995272750583114,6.087621126483622e-06
0.8,100,0.9984875321388245,5.2667501890694913e-05,3.674578010759433e-06,0.9033988118171692,0.006450687841018495,0.030137473717331886,0.997360110282898,0.00015930170490005753,1.9657816665130667e-05,0.9999989691876267,2.116137275889941e-10
0.8,200,0.9991433620452881,1.9216250727525503e-05,9.184795430883241e-07,0.8905249834060669,0.006979042563247956,0.03633830323815346,0.9995602965354919,1.4636887906509842e-05,3.004675193096773e-07,0.9999999999988699,1.2665675659885556e-22
0.8,300,0.9994173049926758,1.1581229590684207e-05,4.0657994304638123e-07,0.8928530216217041,0.00701100244983847,0.03605755418539047,0.9998875856399536,3.195157546083258e-06,1.7749973935110575e-08,1.0,3.4327775328758094e-31
0.8,500,0.9996829628944397,5.056847340881893e-06,1.1327970383945285e-07,0.9100395441055298,0.0061063988481678665,0.026736939325928688,0.9999704957008362,5.620561702192614e-07,1.0264453731423373e-09,1.0,0.0
0.9,10,0.9763884544372559,0.003641925671696278,0.0071893190033733845,0.9104518890380859,0.004799770341005164,0.019537754356861115,0.919699490070343,0.005773324037671857,0.023113800212740898,0.980755859375,0.0027849092483520506
0.9,25,0.998672366142273,0.00012682634735203805,9.804932233237196e-06,0.9857575297355652,0.00204554519682455,0.0022949757985770702,0.9895874857902527,0.0012612782251053868,0.0009038334246724844,0.999583936214447,3.3788620384820334e-06
0.9,50,0.999505877494812,2.3058695986554184e-05,5.10026325173385e-07,0.9893789291381836,0.0015577814098135716,0.0013261480489745736,0.9987989664077759,9.293478528063146e-05,5.760793101217132e-06,0.9999988551476767,2.1669627059808996e-10
0.9,100,0.9996915459632874,8.465008903915753e-06,1.3102679474741308e-07,0.9875845909118652,0.0016916253884647129,0.001584941172040999,0.9997493028640747,7.980317955850433e-06,9.469442119325322e-08,0.9999999999997717,3.011469095072565e-24
0.9,200,0.9998000264167786,4.175537648432761e-06,4.870150505098536e-08,0.9889548420906067,0.0012102966948639663,0.0008544044685550034,0.9999592900276184,9.603172428971023e-07,2.1163100161203374e-09,1.0,0.0
0.9,300,0.9998508095741272,2.4648616851777534e-06,2.5308217743713612e-08,0.9887582659721375,0.001471674675391213,0.0012092918623238802,0.9999870657920837,2.2186804647047462e-07,1.9185093791396213e-10,1.0,0.0
0.9,500,0.9999090433120728,1.371762333932127e-06,9.208130258286928e-09,0.9912337064743042,0.0008676765346827903,0.0004532798193395138,0.9999967217445374,4.455494242249764e-08,1.1959940850181372e-11,1.0,0.0
